organism	temperature
Actinomadura longicatena	29
Actinomadura longispora	28
Actinomadura luteofluorescens	28
Actinomadura macra	28
Actinomadura madurae	32
Actinomadura malachitica	30
Actinomadura melliaura	26
Actinomadura meridiana	28
Actinomadura mexicana	29
Actinomadura meyerae	29
Actinomadura namibiensis	29
Actinomadura napierensis	29
Actinomadura nitritigenes	28
Actinomadura ochracea	26
Actinomadura oligospora	29
Actinomadura parvosata	28
Actinomadura pelletieri	32
Actinomadura polychroma	31
Actinomadura pusilla	35
Actinomadura rayongensis	28
Actinomadura recticatena	29
Actinomadura rifamycini	28
Actinomadura roseola	28
Actinomadura roseoviolacea	37
Actinomadura rubra	28
Actinomadura rubrobrunea	55
Actinomadura rudentiformis	28
Actinomadura rugatobispora	29
Actinomadura rupiterrae	28
Actinomadura salmonea	33
Actinomadura scrupuli	28
Actinomadura sediminis	28
Actinomadura sp.	29
Actinomadura spadix	33
Actinomadura spiralis	28
Actinomadura sputi	31
Actinomadura syzygii	28
Actinomadura turkmeniaca	32
Actinomadura umbrina	33
Actinomadura verrucosospora	31
Actinomadura vinacea	29
Actinomadura viridilutea	50
Actinomadura viridis	33
Actinomadura xylanilytica	28
Actinomadura yumaensis	32
Actinomucor elegans	24
Actinomucor taiwanensis	25
Actinomyces albidoflavus	26
Actinomyces alboflavus	26
Actinomyces albohelvatus	26
Actinomyces albovinaceus	26
Actinomyces annulatus	26
Actinomyces anthocyanicus	26
Actinomyces antibioticus	26
Actinomyces asterosporus	28
Actinomyces aurantiacus	26
Actinomyces aureocirculatus	26
Actinomyces aureomonopodiales	26
Actinomyces aureoverticillatus	26
Actinomyces aurigineus	26
Actinomyces bacillaris	26
Actinomyces bernardiae	36
Actinomyces bicolor	26
Actinomyces biverticillatus	26
Actinomyces bobili	26
Actinomyces bovis	37
Actinomyces bowdenii	37
Actinomyces cacaoi	26
Actinomyces caesius	26
Actinomyces californicus	26
Actinomyces candidus	28
Actinomyces canis	37
Actinomyces cardiffensis	37
Actinomyces catuli	37
Actinomyces caviae	37
Actinomyces chromofuscus	26
Actinomyces chryseus	26
Actinomyces cinnabarinus	26
Actinomyces citreofluorescens	26
Actinomyces coelescens	26
